URL,NAME,LINE
http://www.mta.info/nyct/service/,Smith St & Bergen St At Ne Corner (To Manhattan And Queens Only),F-G
http://www.mta.info/nyct/service/,Court St & Montague St At Sw Corner,2-3-4-5-N-R
http://www.mta.info/nyct/service/,Court St & Montague St At Sw Corner,2-3-4-5-N-R
http://www.mta.info/nyct/service/,Clinton St & Montague St At Nw Corner,2-3-4-5-N-R
http://www.mta.info/nyct/service/,Flatbush Ave & Empire Blvd At Sw Corner,B-Q-S
http://www.mta.info/nyct/service/,4th Ave & Union St At Sw Corner (To Bay Ridge And Coney Island Only),D-N-R
http://www.mta.info/nyct/service/,4th Ave & Union St At Se Corner (To Manhattan Only),D-N-R
http://www.mta.info/nyct/service/,4th Ave & Union St At Se Corner (To Manhattan Only),D-N-R
http://www.mta.info/nyct/service/,Flatbush Ave & Bergen St At Sw Corner (To New Lots And Flatbush Only),2/3/04
http://www.mta.info/nyct/service/,Lawrence St & Willoughby St At Ne Corner,N-R
http://www.mta.info/nyct/service/,Lawrence St & Willoughby St At Se Corner,N-R
http://www.mta.info/nyct/service/,Hoyt St & Fulton St At Sw Corner (To New Lots And Flatbush Only),3-Feb
http://www.mta.info/nyct/service/,Bridge St & Fulton St At Ne Corner (To Manhattan Only),3-Feb
http://www.mta.info/nyct/service/,Duffield St & Fulton St At Nw Corner (To Manhattan Only),3-Feb
http://www.mta.info/nyct/service/,Duffield St & Fulton St At Ne Corner (To Manhattan Only),3-Feb
http://www.mta.info/nyct/service/,Bridge St & Willoughby St At Sw Corner,N-R
http://www.mta.info/nyct/service/,Bridge St & Willoughby St At Ne Corner,N-R
http://www.mta.info/nyct/service/,Flatbush Ave & Fleet St At Ne Corner,B-D-N-Q-R
http://www.mta.info/nyct/service/,4th Ave & Pacific St At Nw Corner,2-3-4-5-B-D-N-Q-R
http://www.mta.info/nyct/service/,Ashland Pl & Hanson Pl At Ne Corner,2-3-4-5-B-D-N-Q-R
http://www.mta.info/nyct/service/,Lawrence St & Willoughby St At Ne Corner,N-R
http://www.mta.info/nyct/service/,Smith St & President St At Nw Corner,F-G
http://www.mta.info/nyct/service/,Washington Ave & Eastern Pkwy At Sw Corner,2/3/04
http://www.mta.info/nyct/service/,Washington Ave & Eastern Pkwy At Nw Corner,2/3/04
http://www.mta.info/nyct/service/,Franklin Ave & Eastern Pkwy At Se Corner,2-3-4-5-S
http://www.mta.info/nyct/service/,Franklin Ave & Eastern Pkwy At Ne Corner,2-3-4-5-S
http://www.mta.info/nyct/service/,Franklin Ave & Fulton St At Sw Corner,A-C-S
http://www.mta.info/nyct/service/,Franklin Ave & Eastern Pkwy At Ne Corner,2-3-4-5-S
http://www.mta.info/nyct/service/,Jay St & York St At Sw Corner,F
